request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_236,6296918.89,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_237,23826000.0,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_238,663.6,not_affordable,not_recommended,none,2024-12-07,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_239,642.0,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_240,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_241,21052000.0,not_affordable,not_recommended,none,2024-03-03,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_242,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_244,49918.0,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_245,30049.68,affordable_later,wait,2025-12-14:128500,2025-12-14,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_246,64086.0,not_affordable,not_recommended,none,2026-04-03,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_248,249.05,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_249,140.49,affordable_later,wait,2026-02-13:643.2,2026-02-13,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_250,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_251,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_252,5702997.4,affordable_later,wait,2026-08-14:28082000,2026-08-14,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_253,1289.69,not_affordable,not_recommended,none,2024-05-18,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_254,1005.97,affordable_later,wait,2025-09-13:3535.2,2025-09-13,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_256,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_257,336.71,affordable_later,wait,2025-12-14:1352.4,2025-12-14,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_259,454.88,affordable_later,wait,2024-10-14:935,2024-10-14,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_260,9231249.95,affordable_with_plan,partial_payment,2025-02-06:9231249.95|2025-03-18:42847750.05,2025-03-18,reduce_to:event_23978:589000,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_262,9236000.0,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_263,8205.61,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_264,23231.86,affordable_later,wait,2026-05-14:111300,2026-05-14,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_265,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_266,935.0,not_affordable,not_recommended,none,2025-08-03,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_267,1753.68,not_affordable,not_recommended,none,2026-01-14,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_268,1046.91,not_affordable,not_recommended,none,2024-07-14,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_269,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_270,165.23,not_affordable,not_recommended,none,2026-08-15,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_271,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_272,6024482.84,not_affordable,not_recommended,none,2025-03-16,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_273,9300121.92,affordable_with_plan,partial_payment,2026-04-07:9300121.92|2026-04-14:6560878.08,2026-04-14,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_274,2286.95,not_affordable,not_recommended,none,2024-12-16,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
